,fts_fts.uid,fts_has_plan,fts_no_plan,fts_sc_total,fts_all_total
138,PSE2015,104827956,5556111,110384067,345697151
139,PSE2016,40955994,43095736,84051730,439416415
140,PSE2017,32473623,11883474,44357097,214645572
141,PSE2018,3271079,2185792,5456871,141739265
142,SDN2008,38252922,3219422,41472344,1720187040
143,SDN2009,41858755,745586,42604341,1619913945
144,SDN2010,30909580,1019273,31928853,1572915772
145,SDN2011,11237657,410267,11647924,554476832
146,SDN2012,11270809,1198250,12469059,319590391
147,SDN2013,12337867,300676,12638543,311838420
148,SDN2014,9119679,516601,9636280,758173097
149,SDN2015,7682295,1737622,9419917,591585910
150,SDN2016,8442743,1234679,9677422,335149018
151,SDN2017,4633489,5450636,10084125,314379852
152,SDN2018,949114,0,949114,429554388
153,SLV2009,1823908,5054131,6878039,9795631
154,SLV2011,805837,1012071,1817908,13187247
155,SOM2006,3469747,1243286,4713033,236855317
156,SOM2007,11464376,1014582,12478958,257187870
157,SOM2008,15525659,2334573,17860232,482131246
158,SOM2009,15442707,5224096,20666803,493781264
159,SOM2010,13226057,1135422,14361479,392543865
160,SOM2011,35687814,5551730,41239544,304624702
161,SOM2012,20775513,1902632,22678145,471727563
162,SOM2013,26472398,472648,26945046,387060858
163,SOM2014,8624122,2865982,11490104,487809334
164,SOM2015,12926643,164474,13091117,581976687
165,SOM2016,15712227,290052,16002279,472201669
166,SOM2017,16567689,3492180,20059869,782302003
167,SOM2018,11093026,4717379,15810405,652523941
168,SSD2013,9778435,237513,10015948,391601646
169,SSD2014,36182465,3744449,39926914,357748817
170,SSD2015,32920252,1289018,34209270,629486578
171,SSD2016,33445400,328405,33773805,789932965
172,SSD2017,11554015,17356144,28910159,970596813
173,SSD2018,1516618,2238268,3754886,243954627
174,SYR2014,71921601,29852074,101773675,509243249
175,SYR2015,150535067,88858001,239393068,827822869
176,SYR2016,103500891,30848038,134348929,792316596
177,SYR2017,216853510,148484157,365337667,587560339
178,SYR2018,24520292,31456758,55977050,632904966
179,TCD2007,767140,1726496,2493636,268116605
180,TCD2008,0,78900,78900,349171326
181,TCD2009,0,551000,551000,423045239
182,TCD2011,0,408719,408719,358539371
183,TCD2013,0,799688,799688,357104190
184,TCD2014,1424954,0,1424954,307493776
185,TCD2015,401616,0,401616,312301040
186,TCD2016,1201281,0,1201281,331157323
187,TCD2017,1049000,4967940,6016940,342551549
188,TCD2018,490798,23238,514036,176569431
189,TJK2008,2290081,4732298,7022379,86439150
190,TON2018,0,3645028,3645028,10107122
191,UGA2006,1496344,2316002,3812346,244891920
192,UKR2014,4026652,723096,4749748,78813189
193,UKR2015,16030316,1720013,17750329,203090119
194,UKR2016,9931212,9042408,18973620,267259378
195,UKR2017,6132865,10703462,16836327,134719237
196,UKR2018,6598055,149068,6747123,65013939
197,VUT2015,2340841,1628189,3969030,39766531
198,VUT2017,0,24058,24058,1130173
199,YEM2008,1519593,1179262,2698855,234784418
200,YEM2009,6043353,6028722,12072075,172886267
201,YEM2010,14699871,0,14699871,157842630
202,YEM2011,12836153,41870589,54706742,202997161
203,YEM2012,20458584,183780,20642364,307033147
204,YEM2013,14542436,2570345,17112781,389836043
205,YEM2014,3942126,803248,4745374,463814986
206,YEM2015,45168677,136969680,182138357,450112708
207,YEM2016,25354518,33095354,58449872,557863847
208,YEM2017,22259013,43637707,65896720,1221351117
209,YEM2018,53959326,2008032,55967358,807828527
