crisis_nm,date_month,date_year,glide,url
FYR Macedonia: Cold Wave ,Dec,2014,CW-2014-000171-MKD,https://api.reliefweb.int/v1/disasters/17781
Malaysia: Floods and Landslides ,Dec,2014,FL-2014-000168-MYS,https://api.reliefweb.int/v1/disasters/17306
Sri Lanka: Floods and Landslides ,Dec,2014,FL-2014-000162-LKA,https://api.reliefweb.int/v1/disasters/17816
Maldives: Water Crisis ,Dec,2014,AC-2014-000161-MDV,https://api.reliefweb.int/v1/disasters/16826
Typhoon Hagupit ,Dec,2014,TC-2014-000160-PHL,https://api.reliefweb.int/v1/disasters/16606
Morocco: Flash Floods ,Nov,2014,FL-2014-000159-MAR,https://api.reliefweb.int/v1/disasters/16491
Cabo Verde: Fogo Volcano ,Nov,2014,VO-2014-000158-CPV,https://api.reliefweb.int/v1/disasters/16376
Madagascar: Plague Outbreak ,Nov,2014,EP-2014-000173-MDG,https://api.reliefweb.int/v1/disasters/19391
Haiti: Floods ,Nov,2014,FL-2014-000155-HTI,https://api.reliefweb.int/v1/disasters/16071
Indonesia: Floods and Landslides ,Nov,2014,FL-2014-000154-IDN,https://api.reliefweb.int/v1/disasters/17021
Colombia: Floods ,Oct,2014,FL-2014-000163-COL,https://api.reliefweb.int/v1/disasters/16986
Niger: Cholera Outbreak ,Oct,2014,EP-2014-000151-NER,https://api.reliefweb.int/v1/disasters/15604
Nigeria: Complex Emergency ,,2018,CE-2014-000149-NGA,https://api.reliefweb.int/v1/disasters/42854
Somalia: Floods ,Oct,2014,FL-2014-000150-SOM,https://api.reliefweb.int/v1/disasters/15603
Bolivia: Drought ,Oct,2014,DR-2014-000147-BOL,https://api.reliefweb.int/v1/disasters/15590
Colombia/Ecuador: Chiles and Cerro Negro Volcanoes ,Oct,2014,VO-2014-000145-COL,https://api.reliefweb.int/v1/disasters/15561
Ethiopia: Floods ,Oct,2014,FL-2014-000152-ETH,https://api.reliefweb.int/v1/disasters/15651
Tropical Cyclone Hudhud ,Oct,2014,TC-2014-000141-IND,https://api.reliefweb.int/v1/disasters/15463
Serbia: Floods ,Sep,2014,FF-2014-000129-SRB,https://api.reliefweb.int/v1/disasters/15370
Tropical Storm Fung,Sep,2014,TC-2014-000128-PHL,https://api.reliefweb.int/v1/disasters/15342
South Sudan: Kala,Sep,2014,EP-2014-000170-SSD,https://api.reliefweb.int/v1/disasters/17581
Philippines: Mayon Volcano ,Sep,2014,VO-2014-000127-PHL,https://api.reliefweb.int/v1/disasters/15305
Typhoon Kalmaegi ,Sep,2014,TC-2014-000124-PHL,https://api.reliefweb.int/v1/disasters/15284
Cameroon: Floods ,Sep,2014,FL-2014-000121-CMR,https://api.reliefweb.int/v1/disasters/15259
Pakistan: Floods ,Sep,2014,FL-2014-000122-PAK,https://api.reliefweb.int/v1/disasters/15244
India: Floods and Landslides ,Sep,2014,FL-2014-000089-IND,https://api.reliefweb.int/v1/disasters/15038
Solomon Islands: Measles Outbreak ,Sep,2014,EP-2014-000143-SLB,https://api.reliefweb.int/v1/disasters/15479
Kenya: Drought ,,2018,DR-2014-000131-KEN,https://api.reliefweb.int/v1/disasters/15360
Bangladesh: Floods ,Aug,2014,FL-2014-000117-BGD,https://api.reliefweb.int/v1/disasters/15198
DR Congo: Ebola Outbreak ,Aug,2014,EP-2014-000118-COD,https://api.reliefweb.int/v1/disasters/15193
Ghana: Cholera Outbreak ,Aug,2014,EP-2014-000116-GHA,https://api.reliefweb.int/v1/disasters/15181
Niger: Floods ,Aug,2014,FL-2014-000115-NER,https://api.reliefweb.int/v1/disasters/15174
Sri Lanka: Drought ,Aug,2014,DR-2014-000120-LKA,https://api.reliefweb.int/v1/disasters/15201
China: Earthquake in Ludian county (Yunnan) ,Aug,2014,EQ-2014-000102-CHN,https://api.reliefweb.int/v1/disasters/15069
Nepal: Landslides and Floods ,Aug,2014,LS-2014-000103-NPL,https://api.reliefweb.int/v1/disasters/15076
South Sudan: Floods ,Aug,2014,FL-2014-000123-SSD,https://api.reliefweb.int/v1/disasters/14337
Myanmar: Floods ,Jul,2014,FL-2014-000107-MMR,https://api.reliefweb.int/v1/disasters/15340
Cameroon: Cholera Outbreak ,Jul,2014,EP-2014-000100-CMR,https://api.reliefweb.int/v1/disasters/15063
